run_tag,epoch,params_m,latency_ms,avg_psnr,avg_ssim,batch_size,height,width,seed
B+W,0,1.5007,57.74,19.5993,0.9926,1,256,384,123
B+W,1,1.5007,57.74,20.3008,0.9913,1,256,384,123
B+W,2,1.5007,57.74,20.4755,0.9936,1,256,384,123
B0_rank,0,2.5302,70.96,19.3456,0.9911,1,256,384,123
B+W_rank,0,1.5007,163.63,19.1067,0.9917,1,256,384,123
B+W_rank,1,1.5007,163.63,20.3156,0.9912,1,256,384,123
B0_rank,1,2.5302,70.96,20.5227,0.9926,1,256,384,123
B+E_rank,0,2.3122,67.41,19.6247,0.9922,1,256,384,123
B+W_rank,2,1.5007,163.63,20.6008,0.9932,1,256,384,123
B+SE_rank,0,2.4644,70.68,19.3653,0.9913,1,256,384,123
B+E_rank,1,2.3122,67.41,19.7632,0.9916,1,256,384,123
B+E_rank,2,2.3122,67.41,19.8555,0.9914,1,256,384,123
B+SE_rank,1,2.4644,70.68,20.5199,0.9933,1,256,384,123
B0_rank,2,2.5302,70.96,20.3219,0.9924,1,256,384,123
B+E_rank,3,2.3122,67.41,20.1332,0.9920,1,256,384,123
B+SE_rank,2,2.4644,70.68,19.1048,0.9914,1,256,384,123
B+E_rank,4,2.3122,67.41,19.3486,0.9897,1,256,384,123
B+SE_rank,3,2.4644,70.68,19.1664,0.9915,1,256,384,123
B+E_rank,5,2.3122,67.41,21.1039,0.9931,1,256,384,123
B+W_rank,3,1.5007,163.63,19.2562,0.9894,1,256,384,123
B+SE_rank,4,2.4644,70.68,20.5469,0.9934,1,256,384,123
B+E_rank,6,2.3122,67.41,21.1197,0.9935,1,256,384,123
B+SE_rank,5,2.4644,70.68,20.8136,0.9938,1,256,384,123
B+E_rank,7,2.3122,67.41,20.3088,0.9930,1,256,384,123
B+SE_rank,6,2.4644,70.68,20.1257,0.9924,1,256,384,123
B+E_rank,8,2.3122,67.41,21.0948,0.9942,1,256,384,123
B+SE_rank,7,2.4644,70.68,20.6056,0.9935,1,256,384,123
B0_rank,3,2.5302,70.96,20.6556,0.9929,1,256,384,123
B+E_rank,9,2.3122,67.41,21.2806,0.9943,1,256,384,123
B+SE_rank,8,2.4644,70.68,21.2111,0.9943,1,256,384,123
B+W_rank,4,1.5007,163.63,20.2156,0.9935,1,256,384,123
B+E_rank,10,2.3122,67.41,21.4949,0.9938,1,256,384,123
B+SE_rank,9,2.4644,70.68,20.9781,0.9939,1,256,384,123
B+E_rank,11,2.3122,67.41,20.5058,0.9918,1,256,384,123
B+SE_rank,10,2.4644,70.68,21.3267,0.9939,1,256,384,123
B+E_rank,12,2.3122,67.41,21.3599,0.9943,1,256,384,123
B+SE_rank,11,2.4644,70.68,21.1592,0.9946,1,256,384,123
B+E_rank,13,2.3122,67.41,21.5620,0.9947,1,256,384,123
B+W_rank,5,1.5007,163.63,20.7299,0.9938,1,256,384,123
B+SE_rank,12,2.4644,70.68,21.1067,0.9939,1,256,384,123
B+E_rank,14,2.3122,67.41,21.4821,0.9948,1,256,384,123
B+W_rank,6,1.5007,163.63,21.0203,0.9941,1,256,384,123
B+E_rank,15,2.3122,67.41,21.2301,0.9943,1,256,384,123
B+SE_rank,13,2.4644,70.68,21.5193,0.9939,1,256,384,123
B0_rank,0,2.5302,70.99,19.7320,0.9917,1,256,384,123
B+W_rank,7,1.5007,163.63,20.7991,0.9939,1,256,384,123
B+E_rank,16,2.3122,67.41,21.3478,0.9944,1,256,384,123
B+SE_rank,14,2.4644,70.68,19.8047,0.9924,1,256,384,123
B0_rank,1,2.5302,70.99,20.7009,0.9922,1,256,384,123
B+W_rank,8,1.5007,163.63,21.0270,0.9941,1,256,384,123
B+E_rank,17,2.3122,67.41,21.6192,0.9942,1,256,384,123
B+SE_rank,15,2.4644,70.68,21.3200,0.9950,1,256,384,123
